"STD_YYYY"|"RN_INST"|"INST_CLSFC_CD"|"SGG_INST"|"DISP_SUBJ_TYPE"|"CNT_DR_TOT"|"CNT_NRS_TOT"|"CNT_BED_INP"|"CNT_BED_OP"|"CNT_BED_ER"
2006|558084|5|11680||1|0|0|0|0
2006|239666|5|11680||1|0|0|0|0
2006|782883|5|11680||1|0|0|0|0
2006|493594|5|11680||1|0|0|0|0
2006|607428|5|11680||1|0|0|0|0
2006|467393|5|11680||1|0|0|0|0
2006|785711|5|11680||1|0|0|0|0
2006|913461|5|11680||1|0|0|0|0
2006|684542|5|11680||1|0|0|0|0
2006|419916|5|11680||1|0|0|0|0
2006|150665|5|11680||1|0|0|0|0
2006|367163|5|11680||1|0|0|0|0
2006|290418|5|11680||1|0|0|0|0
2006|993969|5|11680||1|0|0|0|0
2006|646510|5|11650||1|0|0|0|0
2006|190859|5|11650||1|0|0|0|0
2006|196674|5|11650||1|0|0|0|0
2006|947844|5|11650||1|0|0|0|0
2006|862007|5|11650||1|0|0|0|0
2006|447936|5|11650||1|0|0|0|0
2006|761033|5|11650||1|0|0|0|0
2006|301280|5|11650||1|0|0|0|0
2006|986587|5|11710||1|0|0|0|0
2006|555577|5|11710||1|0|0|0|0
2006|664740|5|11710||1|0|0|0|0
2006|344389|5|11710||1|0|0|0|0
2006|522313|5|11710||1|0|0|0|0
2006|421415|5|11710||1|0|0|0|0
2006|155448|5|11710||1|0|0|0|0
2006|676612|5|11710||1|0|0|0|0
2006|235402|5|11710||1|0|0|0|0
2006|254265|5|11710||1|0|0|0|0
2006|856682|5|11710||1|0|0|0|0
2006|222032|5|11140||1|0|0|0|0
2006|784730|5|11140||1|0|0|0|0
2006|826078|5|11140||1|0|0|0|0
2006|913979|5|11140||1|0|0|0|0
2006|638782|5|11560||1|0|0|0|0
2006|273567|5|11560||1|0|0|0|0
2006|251679|5|11560||1|0|0|0|0
2006|620567|5|11560||1|0|0|0|0
2006|600796|5|11560||1|0|0|0|0
2006|621196|5|11560||1|0|0|0|0
2006|736777|5|11560||1|0|0|0|0
2006|821305|5|11560||1|0|0|0|0
2006|377641|5|11560||1|0|0|0|0
2006|925510|5|11560||1|0|0|0|0
2006|923041|5|11560||1|0|0|0|0
